time,x acceleration,y acceleration,z acceleration,magnitude acceleration
0,-0.293065738,0.42260689,-1.233688828,1.336589778
0.010067,-0.459454874,0.588727639,-2.179823869,2.304198584
0.020134,-0.496929313,0.671368092,-2.166493387,2.321931836
0.030201,-0.370084458,0.584393317,0.169863954,0.712272292
0.040268,-0.204324044,0.469687428,-0.106390674,0.523138194
0.050336,-0.123959473,0.341235356,1.285675253,1.335952235
0.060403,0.22846855,0.075785726,2.25167504,2.264504767
0.07047,0.331848784,-0.08046951,2.731721504,2.752980446
0.080537,0.390915895,-0.243044343,2.312000763,2.357378485
0.090604,0.43508324,-0.416454998,2.189167719,2.270503798
0.100671,0.409628374,-0.569484123,2.092371742,2.206836441
0.110738,0.317629598,-0.601869548,0.791604241,1.043921831
0.120806,0.084123316,-0.533720396,0.102673599,0.549978237
0.130873,-0.017719055,-0.461293531,-1.261751955,1.343548913
0.14094,-0.191900209,-0.298943889,-1.479979398,1.522015821
0.151007,-0.229993796,-0.178563258,-2.478520694,2.49556543
0.161074,-0.400620738,0.011864128,-2.444334363,2.476975618
0.171141,-0.316501159,0.101174647,-2.390031272,2.413018602
0.181208,-0.360598557,0.30796426,-1.744762373,1.808056703
0.191276,-0.243368498,0.425515989,-0.888232403,1.014519041
0.201343,-0.198557958,0.551976207,-0.033468878,0.587556944
0.21141,-0.083131144,0.594780457,0.887222005,1.071371768
0.221477,0.072858847,0.578791794,1.722757546,1.818846315
0.231544,0.189450335,0.492493835,2.538911322,2.593166464
0.241611,0.293803583,0.318029328,2.318401126,2.358484042
0.251679,0.336278562,0.138500768,2.472788669,2.499389832
0.261746,0.419432583,-0.16747818,1.679008094,1.738689395
0.271813,0.345751234,-0.41857454,1.320028814,1.427313782
0.28188,0.273327109,-0.578160478,-0.062295066,0.64254021
0.291947,0.086028951,-0.602562297,-0.582823559,0.842713239
0.302014,-0.001590059,-0.612910188,-1.588611894,1.702747538
0.312081,-0.190975892,-0.534962125,-1.940128373,2.021572252
0.322149,-0.32501211,-0.429657097,-2.305922583,2.368019647
0.332216,-0.392592949,-0.248160839,-2.253150292,2.30052152
0.342283,-0.417154983,-0.015194904,-1.733019994,1.782584491
0.35235,-0.358555942,0.174517661,-1.130498335,1.198768228
0.362417,-0.319321965,0.37402497,-0.02178848,0.492276277
0.372484,-0.160671838,0.493410532,0.530648269,0.742197398
0.382551,-0.031307555,0.607784592,1.652810229,1.761296093
0.392619,0.179524833,0.611983258,1.873149102,1.978747137
0.402686,0.262026524,0.561241121,2.45145101,2.528489974
0.412753,0.393927869,0.417659597,2.087086444,2.16461279
0.42282,0.420793084,0.199728498,1.928013527,1.983480389
0.432887,0.425768004,-0.059340961,1.084628098,1.166712413
0.442954,0.35218646,-0.322831098,0.313883799,0.571645222
0.453021,0.233646515,-0.489427153,-0.485279723,0.727754108
0.463089,0.06849052,-0.555657943,-1.331314525,1.444245501
0.473156,-0.147098103,-0.536277201,-1.712324944,1.800357687
0.483223,-0.25255663,-0.496326429,-2.247140524,2.315116694
0.49329,-0.395679292,-0.378813876,-1.88465116,1.962644148
0.503357,-0.414904901,-0.207862834,-1.814398034,1.872803583
0.513424,-0.44582834,0.00804301,-0.911460468,1.014686051
0.523491,-0.341787918,0.197841949,-0.423454188,0.579028382
0.533559,-0.250072111,0.328739783,0.652251059,0.772034552
0.543626,-0.08540086,0.427298221,1.175503185,1.253668542
0.553693,0.037404246,0.473847466,1.860912049,1.920657219
0.56376,0.197052629,0.459110509,2.035176618,2.095603985
0.573827,0.27732982,0.412001247,2.088978603,2.147204802
0.583894,0.334307904,0.272028424,1.801830613,1.852661544
0.593961,0.365334399,0.06998717,1.116526414,1.17685966
0.604029,0.327702925,-0.136380019,0.514585383,0.625129453
0.61409575,0.276465529,-0.311658422,-0.472230492,0.629734704
0.62416275,0.171694169,-0.387004181,-0.939066927,1.030096023
0.63422975,0.066568275,-0.406433382,-1.72568934,1.774154201
0.64429675,-0.101400395,-0.370709525,-1.811381455,1.851704719
0.65436375,-0.18797479,-0.285860068,-2.022548971,2.051281268
0.66443175,-0.300955751,-0.151647154,-1.511031037,1.548155683
0.67449875,-0.345517345,-0.04315426,-1.10083541,1.154592191
0.68456575,-0.376325191,0.106620122,-0.341991949,0.519564234
0.69463275,-0.316769107,0.218759522,0.376919122,0.538763789
0.70469975,-0.235751549,0.276171505,1.080610476,1.139986182
0.71476675,-0.11224148,0.312148272,1.64617247,1.679261294
0.72483375,0.003622387,0.286664571,1.824058219,1.84645013
0.73490175,0.130598932,0.257365179,1.988635705,2.009468806
0.74496875,0.260495778,0.142345879,1.618232135,1.645234221
0.75503575,0.29886517,0.04768154,1.281350652,1.31660678
0.76510275,0.349543043,-0.100815372,0.450332669,0.578915876
0.77516975,0.302733085,-0.181861508,-0.09181298,0.364898003
0.78523675,0.270300152,-0.244883913,-0.944874966,1.012827233
0.79530375,0.156281018,-0.217184246,-1.327637796,1.354331891
0.80537175,0.048048298,-0.205227822,-1.768347117,1.780864572
0.81543875,-0.098912633,-0.15049507,-1.759409063,1.768601913
0.82550575,-0.192458088,-0.07653691,-1.555130153,1.568861946
0.83557275,-0.282297359,-0.02648955,-1.140382469,1.175102408
0.84563975,-0.33655265,0.07143399,-0.464423874,0.577979269
0.85570675,-0.317882783,0.139358719,0.109904265,0.364073157
0.86577375,-0.304032264,0.18737313,0.944546353,1.009807962
0.87584175,-0.18710403,0.18850738,1.294650729,1.32161396
0.88590875,-0.084533544,0.201334381,1.792794911,1.806044032
0.89597575,0.044110609,0.163111918,1.731700278,1.739924451
0.90604275,0.147617838,0.117623504,1.764169866,1.774238325
0.91610975,0.268527459,0.033897716,1.229785227,1.25921712
0.92617675,0.309970111,-0.04991525,0.730747005,0.79533904
0.93624375,0.321483352,-0.12116476,-0.003880212,0.343580414
0.94631175,0.284428687,-0.17665946,-0.632954662,0.71605855
0.95637875,0.197135514,-0.175498696,-1.13986616,1.170024386
0.96644575,0.096676219,-0.177172096,-1.613251476,1.625827964
0.97651275,-0.020725977,-0.13959639,-1.661392772,1.667375981
0.98657975,-0.112481069,-0.115675467,-1.650736222,1.658602688
0.99664675,-0.234326674,-0.035286887,-1.138807229,1.163200782
1.00671375,-0.296138047,0.02431106,-0.751898723,0.80848034
1.01678175,-0.307847937,0.102593875,0.035535284,0.326433166
1.02684875,-0.281291547,0.165926091,0.606492503,0.688832025
1.03691575,-0.1961807,0.206490017,1.278331735,1.309678211
1.04698275,-0.108479308,0.226229578,1.577596909,1.597422796
1.05704975,-0.013819428,0.218870144,1.774940438,1.788437495
1.06711675,0.102170491,0.176243156,1.699143566,1.711312162
1.07718375,0.205280137,0.089515591,1.362342775,1.380626963
1.08725175,0.267141851,-0.026367909,0.840279388,0.88211648
1.09731875,0.289114262,-0.118047664,0.128008999,0.337503499
1.10738575,0.26597376,-0.210001142,-0.411032948,0.532720006
1.11745275,0.198425044,-0.243449025,-1.09300248,1.137231
1.12751975,0.099296411,-0.247685168,-1.407647586,1.432717504
1.13758675,0.003804473,-0.241370358,-1.750028375,1.766599399
1.14765475,-0.120270273,-0.183654758,-1.546859266,1.562359625
1.15772175,-0.184874926,-0.09908741,-1.313964667,1.330601442
1.16778875,-0.257945752,0.026345781,-0.708712943,0.754654985
1.17785575,-0.268058183,0.146587997,-0.169078088,0.349185667
1.18792275,-0.234452992,0.256113144,0.554801947,0.654497784
1.19798975,-0.16909837,0.313019836,1.113284132,1.168750288
1.20805675,-0.070940174,0.332947476,1.513420209,1.551234109
1.21812475,0.006401395,0.292620655,1.73022561,1.754807251
1.22819175,0.111091716,0.234425291,1.642022701,1.662388383
1.23825875,0.173579549,0.132581869,1.444765127,1.461182426
1.24832575,0.231072059,-0.017370287,0.837872674,0.869325394
1.25839275,0.211226243,-0.172527927,0.298529595,0.404354214
1.26845975,0.20038715,-0.298591265,-0.434629387,0.564105006
1.27852675,0.116063092,-0.362334668,-0.88457497,0.962927791
1.28859475,0.055081082,-0.375405132,-1.427805278,1.477359418
1.29866175,-0.020855255,-0.336691083,-1.586253127,1.621725874
1.30872875,-0.088496047,-0.242612087,-1.574282708,1.59532386
1.31879575,-0.153009656,-0.109738588,-1.252068381,1.266147599
1.32886275,-0.191894069,0.051481627,-0.771684532,0.796850493
1.33892975,-0.171672899,0.210612085,-0.211990219,0.344628623
1.34899675,-0.163509565,0.341963554,0.500835071,0.628100484
1.35906475,-0.104588096,0.398107166,0.973135729,1.056608315
1.36913175,-0.042887116,0.422557189,1.489029719,1.548419641
1.37919875,0.031114378,0.380912405,1.53733883,1.584131637
1.38926575,0.067704901,0.292925514,1.644370358,1.671628902
1.39933275,0.122066474,0.147490423,1.297447452,1.311496679
1.40939975,0.149599249,-0.042983723,0.907596627,0.920846987
1.41946675,0.158248387,-0.23774143,0.23620003,0.370612997
1.42953475,0.131610363,-0.361138072,-0.296732161,0.485584154
1.43960175,0.07536394,-0.419096478,-0.829531036,0.932439446
1.44966875,0.038219603,-0.435585589,-1.26820962,1.341473512
1.45973575,-0.019226604,-0.366499603,-1.448871042,1.494630027
1.46980275,-0.058399925,-0.269722867,-1.469408802,1.49509973
1.47986975,-0.106382716,-0.095499778,-1.10422738,1.113443127
1.48993675,-0.107561898,0.073211836,-0.787403601,0.798081428
1.50000475,-0.127188735,0.246997207,-0.161023548,0.321112406
1.51007175,-0.110984264,0.361313854,0.362385868,0.523630333
1.52013875,-0.083893575,0.42435159,0.970239018,1.062297584
1.53020575,-0.022243512,0.42389251,1.262418537,1.331870938
1.54027275,0.011075111,0.373497916,1.471378144,1.518083329
1.55033975,0.055020591,0.287743273,1.432466093,1.462115784
1.56040675,0.07886603,0.129845719,1.216331368,1.225782101
1.57047475,0.107375244,-0.046369169,0.809050578,0.817460936
1.58054175,0.112124755,-0.210811511,0.26719729,0.358340405
1.59060875,0.108135994,-0.343491577,-0.221818804,0.422946141
1.60067575,0.082908192,-0.399024083,-0.760680072,0.862976337
1.61074275,0.030485519,-0.378589891,-1.037743953,1.105066598
1.62080975,-0.002229744,-0.324584642,-1.32798629,1.367080008
1.63087675,-0.047688676,-0.231182827,-1.252544929,1.274593468
1.64094475,-0.069132663,-0.099287202,-1.087583281,1.094291856
1.65101175,-0.095778498,0.050038644,-0.672487103,0.681114007
1.66107875,-0.108475188,0.170097714,-0.244959744,0.317341102
1.67114575,-0.111839794,0.294241211,0.314444547,0.444928536
1.68121275,-0.093339743,0.334996779,0.765168394,0.840486657
1.69127975,-0.05691497,0.369675994,1.142681594,1.202339752
1.70134675,-0.020240256,0.335623235,1.312260203,1.354651049
1.71141475,0.016206426,0.274944175,1.308332629,1.337008308
1.72148175,0.061584054,0.154780586,1.172966078,1.184735855
1.73154875,0.11156101,0.017244298,0.7569361,0.765307444
1.74161575,0.138243207,-0.11760768,0.357526247,0.400958561
1.75168275,0.124531806,-0.245610905,-0.217452688,0.350882543
1.76174975,0.10998387,-0.292542211,-0.58209792,0.660693109
1.77181675,0.063161359,-0.312766871,-0.989526059,1.039699136
1.78188475,0.015660643,-0.294207589,-1.143518915,1.180863612
1.79195175,-0.035411661,-0.243578687,-1.240766882,1.264945461
1.80201875,-0.096488734,-0.143458019,-0.993274709,1.008208771
1.81208575,-0.111993914,-0.046651444,-0.70207226,0.712477685
1.82215275,-0.138068796,0.069590674,-0.256854735,0.299800282
1.83221975,-0.162501359,0.191432633,0.226212401,0.337972181
1.84228775,-0.120638346,0.261960231,0.662250967,0.7223248
1.85235475,-0.090648818,0.315759439,1.067574694,1.116976704
1.86242175,-0.019973577,0.321777905,1.180231243,1.223472824
1.87248875,0.043569458,0.303819297,1.303498151,1.339145956
1.88255575,0.100192141,0.219782419,1.083680849,1.110273372
1.89262275,0.134246005,0.117809025,0.850705558,0.869253072
1.90268975,0.172787452,-0.0155641,0.337091398,0.379115227
1.91275775,0.167574677,-0.146842004,-0.078148622,0.23611661
1.92282475,0.150996131,-0.24209057,-0.546341026,0.616357196
1.93289175,0.110409593,-0.286176164,-0.872004626,0.92438041
1.94295875,0.026426564,-0.292279634,-1.106043525,1.144315528
1.95302575,-0.031186079,-0.276640068,-1.191291837,1.223388139
1.96309275,-0.136729893,-0.217466063,-0.973732145,1.007045601
1.97315975,-0.159338874,-0.115424494,-0.722214748,0.748535793
1.98322775,-0.195074736,0.00545907,-0.26206285,0.326742852
1.99329475,-0.18665036,0.132068538,0.128155764,0.262115157
2.00336175,-0.169606658,0.256546477,0.665937636,0.73352263
2.01342875,-0.102971468,0.31027095,0.954467908,1.008900478
2.02349575,-0.028396756,0.348896159,1.214548552,1.263986982
2.03356275,0.039212031,0.330425937,1.213433488,1.2582288
2.04362975,0.108936524,0.255693697,1.106804833,1.141167547
2.05369775,0.189055429,0.146652627,0.801124093,0.836091359
2.06376475,0.210874808,-0.001671372,0.384402974,0.438447972
2.07383175,0.192841209,-0.118450702,-0.070458364,0.237028862
2.08389875,0.167316705,-0.244744841,-0.534127362,0.610890298
2.09396575,0.105727819,-0.300153495,-0.832378045,0.891136186
2.10403275,0.025107122,-0.326652656,-1.098905244,1.146701819
2.11409975,-0.047182873,-0.320249662,-1.112780687,1.158907644
2.12416775,-0.127658559,-0.238818395,-0.995707151,1.03187386
